Actual,ARIMA,SVR,RandomForest,RNN,GRU,LSTM
19079.64144,-5017.168516697536,8126.1790939881685,19110.08251829999,18735.424,19159.557,19705.545
19426.74588,-5120.896147443285,8086.840245497355,19370.427102299975,18967.836,19393.998,20046.727
19619.94999,-5223.538924787675,8064.345569781708,19649.56935119997,19155.324,19599.49,20362.518
19913.81958,-5325.108194857998,8029.432657964125,19945.74019530001,19305.203,19785.8,20668.729
20261.24385,-5425.615185116112,7987.271062913065,20310.241321800022,19495.918,19973.15,20950.164
20567.01369,-5525.071005599518,7949.581728444482,20603.701940399995,19730.129,20181.924,21190.66
20748.64089,-5623.4866501494635,7927.021264314534,20744.447850899982,19992.52,20417.86,21400.902
20781.02691,-5720.872997626205,7922.989180455612,20767.523441400008,20287.086,20657.297,21565.973
21061.60218,-5817.24081311155,7887.990741853445,20767.523441400008,20533.121,20858.2,21700.25
21327.18942,-5912.600749098835,7854.851585535911,20767.523441400008,20750.646,21034.113,21815.766
21393.05235,-6006.963346670449,7846.647720656941,20767.523441400008,20910.592,21209.07,21916.965
